text,label
Credential extraction from the LSASS process,T1003.001
credential-based deception is to stage the deceptive credentials in LSASS process memory.,T1003.001
credentials are extracted with Mimikatz.,T1003.001
credential extraction tool Mimikatz,T1003.001
uses the CreateProcessWithLogonW Windows API,T1106
calling the API,T1106
recon for interesting hostnames,T1082
public facing systems is compromised,T1190
be injected with deceptive credentials at multiple places like LSASS process memory,T1055
Injecting NETONLY credentials into LSASS process memory,T1055
Injecting credentials into LSASS memory,T1055
credentials being picked up and used to pivot to decoy systems in the network,T1078
keyloggers,T1056.001
flood a remote DNS server with false traffic.,T1071.001
"send traffic simultaneously to one server,",T1071.001
using the default factory credentials.,T1078
exfiltrating data from the target device,T1041
covert channel that can be used to exfiltrate data from the victim device,T1041
"deliver more malware,",T1105
extract data and files from endpoint devices.,T1005
a version of the malware that was injected into a victim’s system,T1055
"It usually pretends to be a legitimate file, such as an Adobe PDF or Dropbox file,",T1036.005
The phishing email with the malicious attachment,T1566.001
file is a Python program packaged by PyInstaller.,T1027
is an obfuscating tool for Python script that makes the malware harder to be analyzed and detected.,T1027
It contains Base64-encoded data,T1027
Python programs that are obfuscated using PyArmor,T1027
"After decrypting the pyc file,",T1140
it uses the following command to delete the data in PSReadline,T1070.004
It also checks the victim’s hostname,T1082
collects browser history and passwords from the following browsers,T1552.001
It also uses the command “CopyFromScreen” to capture a screenshot.,T1113
Downloading files and getting a screenshot,T1113
Download components for the Keylogger,T1056.001
It is a key logger that saves data in the “KeyLogs” folder.,T1056.001
downloads three components from,T1105
can be executed via scheduled tasks.,T1053.005
"It was quite common to see scheduled tasks used to create persistence for the ransomware executable,",T1053.005
The threat actors also expressed interest in other access methods such as RDP,T1021.001
Credentials that have either been reused across multiple platforms or have previously been exposed,T1078
this includes VPN accounts,T1078
Compromised accounts may be used to maintain access to the network.,T1078
local accounts.,T1078
domain and local accounts,T1078
Affiliates have been seen brute forcing,T1110
Exploit Public-Facing Applications,T1190
is typically executed via command line arguments,T1059.003
some defense evasion batch scripts.,T1059.003
a batch script or a specially crafted command line script.,T1059.003
has utilized a UAC bypass tool.,T1548.002
"Indicators, such as logs in Windows Event Logs or malicious files, are typically removed using wevtutil, a batch script, or CCleaner.",T1027
"Windows Defender, other anti-malware solutions and monitoring tools are disabled utilizing a process explorer tool,",T1562.001
Firewall rules have occasionally been seen being disabled as well.,T1562.001
"During the defense evasion phase, anti-malware and monitoring software is often disabled.",T1562.001
Mimikatz is a key player in dumping credentials but LockBit 2.0 has been occasionally seen utilizing MiniDump as well.,T1003.001
has been seen using the PowerShell module InvokeGPUpdate to update the group policy.,T1484.001
Most PowerShell scripts involved in LockBit 2.0 cases are Base64 encoded.,T1027
"enumerates system information such as hostname, shares, and domain information.",T1082
has been known to self-propagate via SMB.,T1570
a method of lateral movement and a tool for downloading/executing files.,T1570
"AnyDesk has been the most common legitimate desktop software used to establish an interactive command and control channel, with ConnectWise seen slightly less frequently.",T1219
Operates as a file grabber,T1105
the UPX packed sample,T1027
which unpacks,T1027
brute forcing post-infection to automate local and global spreading attempts.,T1110
brute forcing,T1110
"multiple levels of encoded commands,",T1027
The multiple levels of Base64 encoding,T1027
use of three base64 encoded echo commands,T1027
encoded payload,T1027
downloading itself from malicious servers,T1105
attacker began adding the lwp-download command as a failover for wget and curl to enable downloading commands,T1105
"download, and configure",T1105
process of downloading and setting persistence of some other file.,T1105
downloading a specific payload,T1105
decoded into a new script,T1140
The payload contains two additional base64 encoded scripts,T1027
operators attempted to use cached credentials from local accounts to gain initial access to additional systems within an internal network.,T1078
exploits known vulnerabilities in internet-facing applications,T1190
"MiniDump, “a C# implementation of mimikatz/pypykatz minidump functionality to get credentials from LSASS dumps”",T1003.001
Usernames,T1033
and hostnames collected,T1082
"It is used to connect to systems in the same network via SMB, to write a batch file to disk",T1570
to push batch files over SMB to other systems within an internal network.,T1570
"write a batch file to disk that executes the Fantasy wiper, and then run that batch file via PsExec with this command line string",T1059.003
writing the batch file to disk and executing.,T1059.003
The batch file,T1059.003
The batch file,T1059.003
a batch file,T1059.003
"creates another batch file, system.bat,",T1059.003
writes another batch file,T1059.003
"the batch file in Figure 7, which Sandals creates on remote systems to launch",T1059.003
both use batch files that run via the Windows command she will.,T1059.003
ease of batch file execution.,T1059.003
write the batch file on the remote system.,T1059.003
it writes a batch file,T1059.003
lists the command line arguments accepted,T1059.003
deletes all files written to disk in the current working directory,T1070.004
then deletes the file.,T1070.004
deletes the directory with the files causing the errors,T1070.004
recursively deletes all files,T1070.004
the file deletion functions,T1070.004
File deletion functions,T1070.004
File deletion functions,T1070.004
then deletes the files.,T1070.004
the decoded command line parameter,T1140
The base64 string,T1027
base64-encoded argument,T1027
a base64 encoded argument,T1027
It collects a list of fixed drives but excludes the drive where the %WINDOWS% directory exists.,T1083
Then it enters a for loop iterating over the drive list to build a recursive directory listing,T1083
shows that the directory listing function,T1083
Directory listing functions,T1083
", the GetSubDirectoryFileListRecursive function",T1083
Recursive directory listing functions,T1083
and then self-deletes.,T1027
bat deletes itself,T1027
"attempts to clear file system cache memory, and self-deletes",T1027
that deletes the Fantasy wiper from disk and then deletes itself.,T1027
creates a batch file in %WINDOWS%\Temp called registry.bat.,T1112
deletes the following registry keys: HKCR\.EXE HKCR\.dll HKCR\*,T1112
Then it runs the following to attempt to clear file system cache memory: %windir%\system32\rundll32.exe,T1218.011
GetSubDirectoryFileListRecursive function,T1106
uses the LookupPrivilegeValue and AdjustTokenPrivilege APIs,T1106
operators attempted to capture cached credentials and then use them for lateral movement.,T1078
The actors used built-in Windows user account DefaultAccount.,T1078
and the built-in Windows user account [T1078.001] to move laterally,T1078
HTTPS activity from IP address to the organization’s VMware server.,T1071.001
"Following HTTPS activity,",T1071.001
outgoing HTTPS port 443 connections to and (the prior domain in reverse).,T1071.001
encoded payload,T1027
"to download next stage and execute it""",T1105
"The actors downloaded malware and multiple tools to the network, including PsExec, Mimikatz, and Ngrok.",T1105
"The exclusion rule allowlisted the entire , enabling threat actors to download tools to the without virus scans.",T1562.001
that added an exclusion rule to Windows Defender,T1562.001
the actors manually disabled Windows Defender via the Graphical User Interface (GUI),T1562.001
The actors added an exclusion rule to Windows Defender.,T1562.001
"The tool allowlisted the entire c:\drive, enabling the actors to bypass virus scans for tools they downloaded to the c:\drive.",T1562.001
The actors manually disabled Windows Defender via the GUI.,T1562.001
"The threat actors also moved laterally to the domain controller, compromised credentials,",T1078
the actors gained access to a VMware service account with administrator and system level access,T1078
"In February 2022, the threat actors exploited Log4Shell [T1190] for initial access",T1190
The actors exploited Log4Shell for initial access to the organization’s VMware Horizon server.,T1190
The exploit payload created a Scheduled Task,T1053.005
The Scheduled Task was named to masquerade as a legitimate Windows task.,T1053.005
"The actors’ exploit payload created Scheduled Task RuntimeBrokerService.exe, which executed RuntimeBroker.exe daily as SYSTEM.",T1053.005
the actors used RDP,T1021.001
the actors leveraged RDP to propagate to several hosts within the network.,T1021.001
"The actors were able to proxy [T1090] RDP sessions,",T1021.001
The actors used RDP to move laterally to multiple hosts on the network.,T1021.001
used Ngrok to proxy RDP connections and to perform command and control.,T1021.001
a reverse proxy tool for proxying an internal service,T1090
Mimikatz – a credential theft tool.,T1003.001
The threat actors then executed Mimikatz on VDI-KMS to harvest credentials,T1003.001
"Additionally, the threat actor was observed attempting to dump the Local Security Authority Subsystem Service (LSASS) process",T1003.001
The actors used Mimikatz,T1003.001
The actors were observed trying to dump LSASS process.,T1003.001
The actors used Mimikatz to harvest credentials.,T1003.001
The actors were able to proxy,T1090
The actors used Ngrok to proxy,T1090
The actors removed malicious file mde.ps1 from the dis.,T1027
"When executed, mde.ps1 downloaded from and removed from the disk",T1027
send phishing emails with malicious HTML attachments to all addresses in the victim’s mailbox.,T1566.001
sending additional phishing emails to the victim’s contacts,T1566.001
phishing email,T1566.001
"starts with an income tax-themed phishing email written in Spanish, disguising itself as a tax receipt notification",T1566.001
disseminate additional phishing emails to the victim’s contacts.,T1566.001
send phishing emails with malicious HTML attachments to all addresses in the victim’s mailbox.,T1566.001
constructs an email with a hardcoded subject and body and attaches the HTML file from the “fb” folder.,T1566.001
collect the victim’s login credentials for various online accounts,T1078
login credentials,T1078
targets victim’s login credentials,T1078
credentials,T1078
attempt to compromise the victim’s login credentials for webmail services,T1078
keystrokes,T1056.001
"keylogging,",T1056.001
logs keystrokes,T1056.001
logging keystrokes via polling and application hooks,T1056.001
logging keystrokes,T1056.001
operating system information,T1082
"system information,",T1082
"performs surveillance on the victim’s machine by collecting system information such as hostnames, IPv4 address, operating system version, disk volume information, disk size and anti-virus software information, and gets the system’s default language.",T1082
"using multiple hosts, including an Amazon Web Services (AWS) Elastic Compute Cloud (EC2) instance, accessed through its public URL, to host the malicious files.",T1071.001
requests a data stream from the C2 server through the URL,T1071.001
hosted the PowerShell downloader script,T1105
hosted the ZIP file containing the payloads,T1105
downloads a RAR file.,T1105
downloads the PowerShell downloader script from an attacker-controlled server,T1105
download a ZIP file,T1105
downloading,T1105
download the payloads,T1105
downloads a malicious ZIP file,T1105
drops the DLL,T1105
download the PowerShell downloader script from the attacker-controlled server,T1105
download and run the Horabot “au” using the URL,T1105
downloading files from a URL,T1105
downloads the contents of an HTML file stored in an attacker-controlled server,T1105
a virtual private server (VPS) behind which the attacker has parked the actual command and control (C2) server,T1090
"domain name also resembled the legitimate Mexican Tax Agency domain, a tactic the attacker likely adopted to disguise malicious traffic.",T1036.005
is a legitimate AutoIt interpreter.,T1036.005
uses PowerShell downloader,T1059.003
leads to payload delivery through the execution of a PowerShell downloader script,T1059.003
RAR file contains a batch file with a CMD extension,T1059.003
executes it through the PowerShell commands.,T1059.003
downloading and executing two other PowerShell scripts from a different attacker-controlled server.,T1059.003
"PowerShell downloader script, which the attacker attempts to execute to re-infect the victim’s machine,",T1059.003
batch file downloads the PowerShell downloaderThe,T1059.003
a malicious batch file with a .cmd extension is downloaded to the user’s machine.,T1059.003
executes an embedded PowerShell command to download the next-stage PowerShell script from the server and execute it on the victim’s machine.,T1059.003
creates two other malicious batch scripts with the extension .cmd in the folder “/Users/Public.”,T1059.003
executes one of the dropped batch files,T1059.003
executes an embedded PowerShell command,T1059.003
"executes another dropped batch file,",T1059.003
executes a PowerShell command,T1059.003
contains the payload DLLs and a few legitimate executables and DLLs,T1055
DLL sideloadingThis,T1574.002
sideloading to legitimate executables,T1574.002
run the payloads by sideloading them to the legitimate executables,T1574.002
sideload a malicious DLL,T1574.002
sideload the DLL,T1574.002
sideloads the DLL to the AutoIt interpreter process,T1574.002
enticing users to open the attached malicious HTML file,T1204.002
lures them to click an embedded malicious hyperlink which,T1204.002
executed when the victim opens the contents of the file,T1204.002
"user opens the CMD file,",T1204.002
"an embedded URL is launched in the victim’s browser,",T1027
has an embedded malicious URL,T1027
redirecting to another malicious HTML file from an attacker-controlled AWS EC2 instance.,T1090
configured to run the payloads in the startup folder of the victim’s machine,T1547.001
creates two Windows shortcut files in the Windows startup folder using the Internet Explorer application icon and the target paths pointing to the two dropped batch scripts.,T1547.001
"creates three more Windows shortcut files in the victim’s machine startup folder,",T1547.001
files dropped in the Windows startup folder are run,T1547.001
launches several processes,T1543.003
heavily obfuscated with random symbols that substitute the instructions during the run-time and base64-encoded strings.,T1027
uses alphanumeric characters and the special character “_” to generate a random name and creates a folder with the random name in the root directory of the victim’s machine.,T1027
executes the compiled AutoIt script,T1027
evade detection,T1027
encodes the email addresses in the “.Outlook” file to a data stream,T1027
decodes the base64-encoded strings and initializes them,T1140
decrypts the encrypted,T1140
decrypt,T1140
decryption function decrypts the URL pointing to the attacker-controlled server,T1140
the malicious ZIP file is deleted.,T1070.004
deleting the “fb” folder to cover its paths and avoid detection,T1070.004
"writes the path of the executable file, “_upyqta2_Ji7.exe”, to the class’s registry key “HKEY_CURRENT_USER\software\Classes\ms-settings\she will\open\command”",T1112
screenshot capturing,T1113
"capturing screenshots,",T1113
capturing screenshots,T1113
anti-virus software information,T1518.001
"Checks for the existence of the anti-virus products such as AVERAGE and Avast by checking for the DLLs avghookx.dll, avghooka.dll and snxhk.dll",T1518.001
exfiltrated to the attacker-controlled server through an HTTP POST request to the URL,T1041
exfiltrates the email address to the C2 server using an HTTP POST request,T1041
exfiltrate contacts’ email addresses,T1041
encoded email addresses are exfiltrated,T1041
"checking if a file on the victim’s filesystem exists and gets the file’s attributes, collecting size and version information,",T1083
looks for the Outlook data files from the victim profile’s Outlook application data folder.,T1083
enumerates all folders and emails in the victim’s Outlook data file,T1083
collect login data from the Google Chrome user profile folders,T1005
"extracts email addresses from the emails’ sender, recipients, CC and BCC fields.",T1005
creating SQL queries to produce the database tables to store the stolen data,T1074.001
added to the email address collection array.,T1074.001
writes the extracted email addresses from the array to a file called “.Outlook” created by the script in the roaming user profile’s Microsoft application data folder.,T1074.001
"Checks the registry keys to detect virtual environments such as VMWare, Virtual Box, Wine, Microsoft Hyper-V or Windows Virtual PC.",T1012
the adversary used impacket to execute Windows Management Instrumentation (WMI) to achieve command execution on other systems present in the environment.,T1047
examples of the command line syntax used for the performance of this activity,T1059.003
adversary using Windows Batch files,T1059.003
cmd /c,T1059.003
cmd /c,T1059.003
performed via the following command-line syntax,T1059.003
the command-line syntax used,T1059.003
command-line syntax was observed being used,T1059.003
the Windows Command Processor was used,T1059.003
"attacker also used the ""proxychains"" utility, which is often employed to redirect network traffic",T1090
use of utilities such as proxychains,T1090
adversary leveraging a Windows Service to execute PowerShell to stay persistent in the environment.,T1569.002
The Windows service was configured with the following options:Service Type: user mode service Service Start Type,T1543.003
the PowerShell being executed was Base64 encoded,T1027
The decoded PowerShell instructions,T1140
"decrypting,",T1140
Disabling PowerShell logging,T1562.001
Disabling this security control,T1562.001
to disable remote administration restrictions to facilitate lateral movement and privilege escalation activities,T1562.001
attacker disabling Windows Defender,T1562.001
"Downloading, decrypting, and executing a backdoor payload from an attacker-controlled server",T1105
the attacker leveraging Windows Remote Desktop Connections to pivot to additional systems in the environment.,T1021.001
attacker also attempted to execute PowerShell scripts on remote systems in the environment while moving system-to-system,T1570
adversaries copied and executed the aforementioned PowerShell script on multiple systems across the environment,T1570
Comsvcs.dll is a well-known way to extract LSASS (Local Security Authority Subsystem Service) data,T1003.001
"invoking comsvcs.dll with rundll32.exe, an adversary can create a dump of any process",T1003.001
utilizing comsvcs.dll,T1003.001
"invoking comsvcs.dll with rundll32.exe,",T1218.011
adversary was also observed remotely modifying the Windows Registry on remote systems,T1112
by modifying the Windows Registry on compromised systems.,T1112
the adversary attempting to exfiltrate sensitive information over SMB (TCP/445) directly from a compromised domain controller.,T1041
screen capture,T1113
keylogging,T1056.001
Microsoft SharePoint vulnerability CVE-2019-0604 was used to deliver web shells,T1190
exploited the Microsoft SharePoint vulnerability CVE-2019-0604 to install web shells,T1190
"running native Windows commands on compromised servers,",T1059.003
The operators made a consistent effort to delete these tools and remove any residual forensic artifacts from compromised systems.,T1027
consistently cleaned up evidence of their intrusion after gaining access to a system,T1027
moved laterally and deployed their signature malware,T1570
used this access to deploy and remotely execute FOCUSFJORD on their primary target.,T1570
The operators deleted tools used for credential harvesting and internal reconnaissance,T1070.004
"to delete any remaining FOCUSFJORD forensic evidence, including files on disk, configuration data encrypted in the registry, and related services and registry keys used for persistence.",T1070.004
writes its encrypted C2 configuration into the system’s registry,T1112
"writes its configuration to registry, this value is set to “default” and is later manually changed by the actor",T1112
the operators were able to access their primary target via RDP connections,T1021.001
operators were able to access their primary target via RDP connections from a trusted third party using stolen credentials,T1078
configured to proxy C2 traffic,T1090
configured to proxy C2 traffic,T1090
"used other victim networks to proxy their C2 instructions, likely to minimize the risk of detection and blend in with normal network traffic.",T1090
acting as proxies to relay communications to their C2 servers.,T1090
usually to the victim’s domain name,T1082
to read and decrypt those registry key values for proper execution.,T1140
the malware needs to read and decrypt those registry key values,T1012
to obfuscate the source of the activity.,T1027
a tool called “anti.exe” to stop Windows Update service and terminate EDR and Antivirus related services.,T1562.001
leverages spear-phishing and tries to trick the victims into opening malicious documents,T1566.001
They used multiple malicious PDFs and MS Office documents during the campaign.,T1566.001
they use tools such as Mimikatz to dump credentials.,T1003.001
"and remote monitoring software such as ScreenConnect, Remote Utilities, and eHorus.",T1219
"they added a new tool for remote access, Syncro, to their arsenal.",T1219
It disguises itself as a legitimate Google Update executable.,T1036.005
It collects the victim’s username,T1033
computer name,T1082
and IP address,T1016
Domain fronting is another method for concealing communication between the endpoint and the command and control servers.,T1090
purpose of domain fronting is to connect to a restricted host while pretending to communicate with an allowed host,T1090
masks your traffic to a certain website by masquerading it as a different domain.,T1090
Domain fronting was mostly used by web services to bypass censorship in several countries that restricted traffic,T1090
attackers have started using this technique to hide their malicious infrastructure behind legitimate domains,T1090
domain fronting possible by allowing the operators to configure related settings via the malleable C2 profiles,T1090
Setup the CDN service to create a new CDN endpoint and redirect traffic to your domain.,T1090
Identify a domain that uses the same CDN to ensure that the traffic will be forwarded to the correct resource.,T1090
Setup a profile to facilitate domain fronting,T1090
the legitimate website will forward the traffic through the CDN to the original destination according to the host header.,T1090
domain fronting,T1090
domain fronting,T1090
domain fronting,T1090
domain fronting,T1090
malleable C2 profiles are configured to allow domain fronting using the Fastly and AzureEdge CDNs,T1090
domain fronting,T1090
domain fronting,T1090
domain fronting,T1090
domain fronting appears to be used by threat actors.,T1090
Attackers can use legitimate domains that are registered under the same CDN provider.,T1090
HTTP/HTTPS C2 traffic,T1071.001
HTTP communication between the Beacon and the Cobalt Strike server,T1071.001
other compromised host running the parent HTTP Beacon,T1071.001
HTTP Parent Beacon,T1071.001
customized for the HTTP-POST Block,T1071.001
Encrypting and encoding the data with XOR mask and random key,T1573.001
threat actors use their beacon sessions to establish RDP access,T1021.001
attackers was to establish a Remote Desktop session,T1021.001
"to establishing a RDP session, including the ability to navigate using a graphical environment and easily move laterally once the necessary access has been granted",T1021.001
attacker’s Kali Linux host to RDP into our target’s environment,T1021.001
RDP into the target host,T1021.001
Cobalt Strike beacon acts as the intermediary to facilitate the Remote Desktop session,T1021.001
SMB beacons open a local port on the target host and listen for incoming communication from a parent beacon,T1090
SMB beacons are mostly used to make network detection harder and to get access to isolated systems where communication to the internet is prohibited,T1090
the SMB Beacon is communicating over the network with a parent Beacon using named pipes.,T1090
can see the named pipe created that we specified on the Cobalt Strike interface when we created the SMB listener.,T1090
RDP into the target host using reverse proxy,T1090
threat actors using reverse proxy,T1090
a reverse proxy,T1090
Reverse Proxy using Cobalt Strike Beacon,T1090
the ability to run a SOCKS proxy server on the team server.,T1090
This enables the operators to setup a listening port and leverage it to relay traffic to and from the open beacon session,T1090
attackers take advantage of this technique using proxychains,T1090
employ proxychains from the attacker’s Kali Linux host,T1090
via reverse proxy.,T1090
can be configured as a proxy,T1090
threat actors use their beacon sessions to establish RDP access through a reverse proxy,T1090
the victim’s hostname is captured in this logon event,T1082
execute the command systeminfo on the compromised host.,T1082
it took 148 packets containing DNS requests and responses to finish the task and send back the data to the Cobalt Strike Server.,T1041
which will then send the results to the C2 server,T1041
SSL can be used to complicate command-and-control (C2) traffic analysis,T1095
"replacing an early call instruction to their malicious code, or by overwriting the entry point in the PE header",T1055
"unpack any additional payloads,",T1027
HTTPS and other protocols built on SSL have,T1071.001
service using HTTPS,T1071.001
SSL encrypted traffic,T1071.001
TLS encrypted data,T1071.001
detect when TLS connections are being initiated and log the symmetric keys generated for the SSL/TLS connection,T1573.001
"decrypt TLS traffic,",T1140
decrypt network traffic,T1140
decrypted,T1140
the decrypted HTTPS traffic.,T1140
encrypt,T1027
SSL encrypted traffic,T1027
TLS encrypted data,T1027
downloads the next stage from a public file storage service,T1105
"embeds the next stages of the execution inside an additional file, usually an XML or a PDF file.",T1027
that embeds the Crypter with the payload.,T1027
the actor embeds the malicious code inside different legitimate codes.,T1027
which enables an HTTPS connection.,T1071.001
"Once downloaded and executed, the malicious installer copies its compressed files into a newly created folder with a legitimate-looking name (i.e., IIS Application Health Monitor) in one of the following directory paths:",T1036.005
"At first glance, the files within the directory may seem legitimate",T1036.005
Write a registry Run key,T1547.001
Write a.lnk file in the startup folder,T1547.001
registry run key persistence implementation,T1547.001
The Decryption Shellcode,T1140
"The Decryption shellcode has three main tasks: first, it extracts the Loader shellcode and the payload, then it decrypts them, and finally, it transfers the execution to the decrypted Loader shellcode.",T1140
Decryption shellcode execution flow,T1140
The Decryption shellcode,T1140
decrypts it using the denoted decryption key,T1140
the decrypted payload,T1140
the decrypted payload,T1140
the decrypted payload address,T1140
An encrypted additional shellcode,T1027
An encrypted payload,T1027
these are encrypted and split inside the XML.,T1027
the user will be encouraged to download a malicious installer,T1204.002
"deceive the user into thinking that the application has failed to execute, even as it silently continues the malicious execution in the background.",T1204.002
shellcode is to inject the decrypted payload within the currently running process (itself).,T1055
the Loader overwrites the current PE with the final payload’s PE,T1055
It does so by copying the PE headers and each section according to the current executable’s base address.,T1055
the Loader copies the new PE headers to the base address and each section to the relevant location according to the IMAGE_SECTION_HEADER,T1055
the import address table and relocation table of the newly injected PE.,T1055
the newly injected PE,T1055
Loader removes evidence of injection by using the following methods: Update the LDR data table entry to match the injected PE. Remove the injected PE headers from memory.,T1027
disable system defenses,T1562.001
The process list checked is as follows,T1057
The services running on the compromised system are checked against the following list,T1057
"The credentials also allow BlackCat to move laterally within the victim’s system and/or network, often with administrative privileges.",T1078
the ransomware to deploy additional tools,T1105
such as Mimikatz,T1003.001
utilizes a unique onion domain,T1090
Encrypted Multi-Hop Proxies,T1090
cyber actors use the VPS as well as small office and home office (SOHO) devices as operational nodes to evade detection.,T1090
have been routinely observed using a VPS as an encrypted proxy.,T1090
Some of these nodes operate as part of an encrypted proxy service to prevent attribution by concealing their country of origin and TTPs,T1090
cyber actors have been observed using a network of VPSs and small office and home office (SOHO) routers as part of their operational infrastructure to evade detection and host C2 activity,T1090
"to locate certain files, paths,",T1083
cyber actors have been observed using multiple implants with file system enumeration and traversal capabilities.,T1083
IP address space,T1016
cyber actors have exploited known vulnerabilities in Internet-facing systems,T1190
exploit targeting a public-facing appliance vulnerability.,T1190
"Exploiting Internet accessible webservers using webshell small code injections against multiple code languages, including net, asp, apsx, php, japx, and cfm.",T1190
These emails may contain a malicious link or files that will provide the cyber actor access to the victim’s device,T1566.001
These emails may contain a malicious link or file that provide the cyber actor access to the victim’s device,T1566.001
after the user clicks on the malicious link or opens the attachment.,T1204.002
the user clicks on the malicious link or opens the attachment.,T1204.002
"gaining credential access into victim networks by using legitimate, but compromised credentials to access OWA servers, corporate login portals, and victim networks.",T1078
"cyber actors used valid accounts to log into a service specifically designed to accept remote connections,",T1078
The actor may then perform actions as the logged-on user.,T1078
"cyber actors used valid accounts to log into a service specifically designed to accept remote connections,",T1078
The actor may then perform actions as the logged-on user.,T1078
"Using cmd.exe,",T1059.003
Windows Command She Will,T1059.003
or command line interface tools,T1059.003
executing malware shellcode and batch files,T1059.003
such as schtask or crontab to create and schedule tasks that enumerate victim devices and networks.,T1053.005
to establish new services to enable persistence.,T1543.003
cyber actors have also been observed modifying group policies for password exploitation.,T1484.001
usage of Mimikatz,T1003.001
observed targeting the LSASS process or Active directory (NDST.DIT) for credential dumping.,T1003.001
"Injecting into the rundll32.exe process to hide usage of Mimikatz, as well as injecting into a running legitimate explorer.exe process for lateral movement.",T1055
Using shellcode that injects implants into newly created instances of the Service Host process (svchost),T1055
were observed using the 7-Zip utility to unzip imported tools and malware files onto the victim device.,T1140
cyber actors have been observed deleting files using rm or del commands.,T1070.004
cyber actors were observed Base64 encoding files and command strings to evade security measures.,T1027
have been observed using Base-64 encoded commands,T1027
"were observed using Microsoft signed binaries, such as Rundll32, as a proxy to execute malicious payloads.",T1218.011
"have been observed using commands, including tasklist, jobs, ps, or taskmgr, to reveal the running processes on victim devices.",T1057
cyber actors also used on-premises Identity and Access Management (IdAM) and federation services in hybrid cloud environments in order to pivot to cloud resources.,T1078
cyber actors also used on-premises Identity and Access Management (IdAM) and federation services in hybrid cloud environments in order to pivot to cloud resources.,T1078
cyber actors used RDP,T1021.001
cyber actors have been observed using the mv command to export files into a location,T1074.001
a downloader that downloads and executes a payload,T1105
cyber actors have been observed importing tools from GitHub or infected domains to victim networks,T1105
cyber actors used the Server Message Block (SMB) protocol to import tools into victim networks.,T1570
it also tries to delete the wp-sale.js file,T1070.004
obfuscated PHP code (again using character code obfuscation):,T1027
a heavily obfuscated script,T1027
obfuscated JavaScript code,T1027
When decoded,T1140
"When decoded, a backdoor is revealed",T1140
sent as a POST request,T1071.001
This backdoor executes arbitrary PHP code sent in POST request parameters.,T1071.001
actors disable antivirus software,T1562.001
the threat actor deactivated antivirus protocols,T1562.001
after receiving phishing emails containing malicious PDF documents [T,T1566.001
for initial access is RDP compromise.,T1021.001
actors often use RDP to move laterally across the network,T1021.001
download multiple tools,T1105
actors gain initial access through exploiting public-facing applications,T1190
PsExec has also been used to aid lateral movement,T1570
actors used a legitimate admin account to remotely log on to the domain controller,T1078
by modifying Group Policy Objects,T1484.001
force a group policy update,T1484.001
delete files upon completion—including,T1070.004
numerous batch (.bat) files on impacted systems,T1059.003
Batch files create a new admin user,T1059.003
which are typically transferred as an encrypted 7zip file.,T1027
These strings are passed to a decoding function where they are converted from hex to byte and XOR’d with decimal 18.,T1140
the decoded strings,T1140
Once decoded,T1140
Base64 decodes the payload content,T1140
to decode the second buffer using key 58 3E 88 D0,T1140
decoded by Shellcode,T1140
These strings are passed to a de-obfuscation function,T1140
PowerShell de-obfuscation routine,T1140
this shellcode is responsible for fetching Remcos RAT,T1105
used to retrieve a payload package containing the second stage PowerShell and two shellcode buffers,T1105
retrieves a decoy tax document and VBS script.,T1105
copying the current process command line as a new argument,T1059.003
full command line argument,T1059.003
a single payload package is retrieved that contains both the two-stage shellcode,T1027
highly obfuscated commands and encrypted shellcode.,T1027
The PowerShell command contains various obfuscated strings,T1027
inject Remcos RAT into a legitimate Windows process such as ieinstal.exe.,T1055
injecting it into ieinstall.exe,T1055
execution begins with the user clicking on a shortcut file,T1204.002
executed by the user clicking a shortcut file,T1204.002
enticing users to click on malicious shortcut files,T1204.002
checks if the system is 64-bit,T1082
remote access and surveillance features,T1219
keylogging,T1056.001
screenshots,T1113
highly obfuscated and contains junk code to impede analysis.,T1027
The script concatenates hundreds of smaller strings into a single variable which ultimately builds and executes,T1027
The payload would then be decrypted through XOR,T1140
use a set of tools via remote desktop,T1021.001
the ransomware drops a batch file,T1059.003
to steal system information like machine details,T1082
the payload most likely arrives by exploiting public-facing websites and domains.,T1190
targeted vulnerabilities in Microsoft SQL (MS SQL) Server for initial access,T1190
"the payload downloaded by the PowerShell script was a .NET downloader, which would subsequently retrieve an encrypted payload from the command-and-control (C&C) server",T1105
used different sets of defense evasion and reconnaissance tools such as GMER and Advance Process Termination to manually uninstall antivirus products on the target system.,T1562.001
to terminate security-related processes and services by dropping KILLAV,T1562.001
the threat actors who perform brute-force attacks on MS SQL Servers.,T1110
"executed a spam campaign with malicious OneNote file attachments,",T1566.001
The initial attack phase involves infiltrating Internet-facing Microsoft Exchange servers,T1190
The malware implemented a series of Mimikatz modifications on closed-source tooling,T1003.001
staging a credential theft capability in the LSASS process itself by abusing native Windows capabilities,T1003.001
"In order to steal credentials, the attackers employ custom modified versions of Mimikatz",T1003.001
stealing credentials from the Local Security Authority Subsystem Service (LSASS) process.,T1003.001
"This call instructs LSASS to load and execute pc.dll, which then stages the getHashFlsa64.dll credential theft component.",T1003.001
accesses the memory of its host LSASS process and stores stolen credentials in a Mimikatz log file,T1003.001
of a Security Package into LSASS using RPC calls.,T1003.001
steals credentials from LSASS,T1003.001
The threat actors used C:\MS_DATA as their main working directory for storing malware and staging data for exfiltration,T1074.001
and Remote Desktop user sessions.,T1021.001
"""cmd"" /c",T1059.003
"cmd"" /c",T1059.003
"cmd"" /c",T1059.003
